4200000 -0.525288 -0.769574 0.392226 0.595985  1 6000.000000
4300000 -0.878188 -2.549977 0.389993 0.593220  4 125.000000
4400000 -0.674600 -0.740830 0.387875 0.590180  1 6000.000000
4500000 -0.824800 -2.147161 0.385965 0.588409  3 500.000000
4600000 -1.021846 -3.345495 0.383662 0.585438  5 45.000000
4700000 -0.972234 -2.257517 0.381541 0.582313  3 500.000000
4800000 -0.701109 -1.560748 0.379863 0.579757  3 500.000000
4900000 -0.868756 -0.774390 0.378337 0.578339  1 6000.000000
5000000 -1.119520 -4.673276 0.376055 0.575525  7 6.000000
5100000 -1.385906 -6.855726 0.371651 0.569194 10 1.000000
5200000 -1.166869 -4.070565 0.367882 0.563778  6 15.000000
5300000 -0.760039 -0.566678 0.366176 0.561300  1 6000.000000
5400000 -0.900377 -1.801371 0.364844 0.559318  3 500.000000
5500000 -0.654876 -1.913852 0.363481 0.557169  3 500.000000
5600000 -1.234709 -5.130897 0.361874 0.554862  7 6.000000
5700000 -0.861614 -1.145171 0.359669 0.551892  2 1500.000000
5800000 -1.298994 -4.273043 0.357352 0.548280  8 2.000000
5900000 -0.990803 -2.845173 0.355111 0.544885  4 125.000000
6000000 -1.075367 -1.081283 0.353831 0.542660  2 1500.000000
6100000 -0.597165 -1.363481 0.353228 0.542049  2 1500.000000
6200000 -0.821596 -1.206980 0.353071 0.541825  2 1500.000000
6300000 -1.039966 -2.611385 0.352376 0.540926  4 125.000000
6400000 -0.947197 -1.487288 0.351396 0.539344  2 1500.000000
6500000 -0.819168 -1.782624 0.351024 0.539132  3 500.000000
6600000 -0.560420 -0.877044 0.350187 0.538170  1 6000.000000
6700000 -0.663755 -0.626508 0.349171 0.537013  1 6000.000000
6800000 -0.864952 -2.362899 0.347839 0.535062  4 125.000000
6900000 -0.896384 -1.857046 0.346903 0.533555  3 500.000000
7000000 -0.844695 -1.520139 0.346202 0.532535  3 500.000000
7100000 -0.958755 -2.683673 0.345578 0.531935  4 125.000000
7200000 -0.881261 -2.098591 0.345000 0.531595  3 500.000000
7300000 -0.647855 -2.908346 0.344676 0.531285  4 125.000000
7400000 -0.904965 -2.873205 0.343815 0.530039  4 125.000000
7500000 -0.962095 -2.143073 0.343431 0.529619  3 500.000000
7600000 -0.726024 -2.242938 0.342770 0.528856  3 500.000000
7700000 -0.704445 -1.508771 0.342186 0.528434  3 500.000000
7800000 -0.549509 -1.184361 0.341752 0.527500  2 1500.000000
7900000 -0.674029 -1.453818 0.341413 0.527115  2 1500.000000
8000000 -0.692874 -2.039918 0.340688 0.526182  4 125.000000
8100000 -0.702248 -1.354281 0.339975 0.525207  2 1500.000000
8200000 -0.889627 -1.369570 0.339306 0.524260  3 500.000000
